Date,EUR,YTD
2003-03-21,0.94411,1.1346
2003-03-24,0.94589,1.1342
2003-03-25,0.94038,1.137
2003-03-26,0.93537,1.1417
2003-03-27,0.93747,1.1446
2003-03-28,0.93257,1.1434
2003-03-31,0.93197,1.1463
2003-04-01,0.91785,1.1463
2003-04-02,0.91819,1.1463
2003-04-03,0.92336,1.1382
2003-04-04,0.9344,1.136
2003-04-07,0.93284,1.134
2003-04-08,0.945,1.1382
2003-04-09,0.93809,1.1392
2003-04-10,0.93093,1.1412
2003-04-11,0.9255,1.1366
2003-04-14,0.93153,1.1371
2003-04-15,0.93136,1.136
2003-04-16,0.9273,1.1361
2003-04-17,0.92285,1.136
2003-04-18,0.91575,1.1261
2003-04-21,0.91575,1.1242
2003-04-22,0.91575,1.1254
2003-04-23,0.91149,1.1259
2003-04-24,0.91374,1.1271
2003-04-25,0.90843,1.1246
2003-04-28,0.91133,1.115
2003-04-29,0.90703,1.1147
2003-04-30,0.91274,1.1064
2003-05-01,0.8983899999999999,1.1101
2003-05-02,0.8983899999999999,1.1101
2003-05-05,0.88976,1.1072
2003-05-06,0.8914200000000001,1.101
2003-05-07,0.8815200000000001,1.0936
2003-05-08,0.8751200000000001,1.0959
2003-05-09,0.87451,1.1004
2003-05-12,0.8721399999999999,1.1036
2003-05-13,0.86229,1.0967
2003-05-14,0.86821,1.0967
2003-05-15,0.86964,1.1035
2003-05-16,0.87275,1.1074
2003-05-19,0.8701700000000001,1.096
2003-05-20,0.8582200000000001,1.0927
2003-05-21,0.8588100000000001,1.0867
2003-05-22,0.85551,1.0854
2003-05-23,0.85324,1.0799
2003-05-26,0.8481799999999999,1.0854
2003-05-27,0.8465299999999999,1.0884
2003-05-28,0.8402700000000001,1.0881
2003-05-29,0.85193,1.0805
2003-05-30,0.8506299999999999,1.073
2003-06-02,0.84588,1.0667
2003-06-03,0.85675,1.0653
2003-06-04,0.8530200000000001,1.0738
2003-06-05,0.85536,1.0599
2003-06-06,0.84926,1.0671
2003-06-09,0.8465299999999999,1.0654
2003-06-10,0.8528100000000001,1.058
2003-06-11,0.85477,1.0572
2003-06-12,0.85121,1.0619
2003-06-13,0.8522200000000001,1.058
2003-06-16,0.8509899999999999,1.0619
2003-06-17,0.8436,1.0551
2003-06-18,0.84767,1.0609
2003-06-19,0.85477,1.0544
2003-06-20,0.858,1.0459
2003-06-23,0.858,1.0425
2003-06-24,0.8666299999999999,1.0378
2003-06-25,0.8646799999999999,1.0224
2003-06-26,0.8657299999999999,1.0297
2003-06-27,0.87474,1.0084
2003-06-30,0.8761899999999999,1.0179
2003-07-01,0.8751200000000001,1.0025
2003-07-02,0.8663299999999999,1.0088
2003-07-03,0.86693,1.0165
2003-07-04,0.8728299999999999,1.0225
2003-07-07,0.8721399999999999,1.0215
2003-07-08,0.88028,1.0283
2003-07-09,0.88292,1.0175
2003-07-10,0.8806700000000001,1.007
2003-07-11,0.8816799999999999,1.0103
2003-07-14,0.8837799999999999,1.0167
2003-07-15,0.8850299999999999,1.0129
2003-07-16,0.8834700000000001,0.99761
2003-07-17,0.8978299999999999,0.98746
2003-07-18,0.89039,0.99364
2003-07-21,0.89246,0.99423
2003-07-22,0.88621,0.98561
2003-07-23,0.8816,0.99147
2003-07-24,0.8771200000000001,1.0091
2003-07-25,0.8720700000000001,1.0086
2003-07-28,0.87131,0.9986
2003-07-29,0.8704,0.9992
2003-07-30,0.87245,1.0182
2003-07-31,0.87566,1.0168
2003-08-01,0.88355,1.0222
2003-08-04,0.8953399999999999,1.0246
2003-08-05,0.88441,1.0129
2003-08-06,0.8823799999999999,1.0167
2003-08-07,0.8778100000000001,1.0321
2003-08-08,0.88082,1.0311
2003-08-11,0.88292,1.0323
2003-08-12,0.88535,1.0279
2003-08-13,0.88402,1.0225
2003-08-14,0.88676,1.0205
2003-08-15,0.88731,1.0145
2003-08-18,0.88913,1.0228
2003-08-19,0.89381,1.0178
2003-08-20,0.90375,1.0205
2003-08-21,0.90017,1.0212
2003-08-22,0.90835,1.0244
2003-08-25,0.91794,1.0235
2003-08-26,0.91844,1.0312
2003-08-27,0.92456,1.0308
2003-08-28,0.91684,1.0231
2003-08-29,0.92353,1.0177
2003-09-01,0.91516,1.016
2003-09-02,0.91199,1.017
2003-09-03,0.92174,1.0182
2003-09-04,0.92739,1.0091
2003-09-05,0.92439,1.0053
2003-09-08,0.9155,1.0025
2003-09-09,0.90326,1.0083
2003-09-10,0.89807,1.021
